NFC;TITULO;ALBUM;ESTRUCTURA;TIPO;PITCH;UBI;CARATULA
MS003;A2. DJ Caesar 9114 vs Aier - Wonderful;Ruboy Records & Pure Makina - Vinyl Factory;"4i+(4+16"")h1+3s1+4h2+2s2+(4+16"")h3+3s3-8f";melodia;2,96;5-003;5-003.png
MS003;B1. Ruboy vs Radium - End of The Universe;Ruboy Records & Pure Makina - Vinyl Factory;4i+4h1+8s1+4h2+2s2+4h3+7s3-8f;melodia;2,96;5-003;5-003.png
MS003;B2. Ruboy vs Aier - Microwaves;Ruboy Records & Pure Makina - Vinyl Factory;4i+4h1+4s1+4h2+2s2+4h3+8s3-8f;base;2,96;5-003;5-003.png
MS004;A1. DJ Sami & DJ Q-byk - MSK The Union;Ruboy Records & Pure Makina - The Union;"4i+8h1+(2+8""+7)s1+10h2+(4+8"")s2-10f";melodia;6,06;5-004;5-004.png
MS004;A2. Aier vs Barok - Ayra;Ruboy Records & Pure Makina - The Union;2i+4h1+4s1+4h2+2s2+2h3+6s3-8f;melodia;1,74;5-004;5-004.png
MS004;B1. Saiko Vs Goham - Kick Some Ass;Ruboy Records & Pure Makina - The Union;2i+4h1+4s1+4h2+2s2+4h3+6s3-8f;melodia;0,00;5-004;5-004.png
MS004;B2. Ruboy - Overdose Base;Ruboy Records & Pure Makina - The Union;3i+4h1+2s1+4h2+4s2-8f;base;2,94;5-004;5-004.png
MS005;A1. Ruboy vs Radium - Impackt;Ruboy Records & Pure Makina - Portal Makina EP1;1i+4h1+4s1+4h2+2s2+4h3+8s3-8f;melodia;0,00;5-005;5-005.png
MS005;A2. DJ Aier - QV;Ruboy Records & Pure Makina - Portal Makina EP1;3i+2h1+2s1+4h2+2s2+2h3+2s3-8f;melodia;0,58;5-005;5-005.png
MS005;B1. Ruboy - Reconnection;Ruboy Records & Pure Makina - Portal Makina EP1;2i+6h1+4s1+4h2+2s2+4h3+6s3-10f;melodia;2,94;5-005;5-005.png
MS005;B2. SPeeDX - Make it Hardcore;Ruboy Records & Pure Makina - Portal Makina EP1;4i+4h1+4s1+4h2+2s2+4h3+8s3-8f;base;6,06;5-005;5-005.png
MS006;A1. Ruboy vs Radium - Sensorial;Ruboy Records & Pure Makina - Invictus;4i+4h1+4s1+4h2+1s2+4h3+6s3-8f;melodia;2,94;5-006;5-006.png
